Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
43,79507,77158,97.0455,75757,95.2834,924,7948,7071,
44,85184,82739,97.1297,81256,95.3888,968,8309,7361,
45,91125,88511,97.1314,86944,95.4118,1012,8820,7872,
46,97336,94623,97.2127,92971,95.5155,1058,9194,8188,
47,103823,100933,97.2164,98300,94.6804,211,10622,9752,
48,110592,107600,97.2946,105748,95.6199,1152,10140,9055,
49,117649,114470,97.2979,112524,95.6438,1200,10705,9592,
50,125000,121716,97.3728,119677,95.7416,1250,11107,9943,
Ways,Data_Size_kB,Words_Per_Block,Hit_Time,Sets,Index_Size,Tag_Size,Hit_Time,
1,524288,2,3,65536,16,13,3,
Matrix_Size,Instruction Count,Hit_A,Hit_A_Percentage,Hit_B,Hit_B_Percentage,Hit_C,Total_CAS,Total_RAS,
2,8,6,75,6,75,2,8,5,
3,27,22,81.4815,22,81.4815,4,19,15,
4,64,56,87.5,56,87.5,8,32,13,
5,125,112,89.6,112,89.6,12,51,30,
6,216,198,91.6667,198,91.6667,18,72,28,
7,343,318,92.7114,318,92.7114,24,99,50,
8,512,480,93.75,480,93.75,32,128,38,
9,729,688,94.3759,688,94.3759,40,163,73,
10,1000,950,95,950,95,50,200,69,
11,1331,1270,95.417,1270,95.417,60,243,107,
12,1728,1656,95.8333,1656,95.8333,72,288,98,
13,2197,2112,96.1311,2112,96.1311,84,339,144,
14,2744,2646,96.4286,2646,96.4286,98,392,144,
15,3375,3262,96.6519,3262,96.6519,112,451,186,
16,4096,3968,96.875,3968,96.875,128,512,204,
17,4913,4768,97.0486,4768,97.0486,144,579,234,
18,5832,5670,97.2222,5670,97.2222,162,648,248,
19,6859,6678,97.3611,6678,97.3611,180,723,287,
20,8000,7800,97.5,7800,97.5,200,800,296,
21,9261,9040,97.6136,9040,97.6136,220,883,344,
22,10648,10406,97.7273,10406,97.7273,242,968,358,
23,12167,11902,97.822,11902,97.822,264,1059,404,
24,13824,13536,97.9167,13536,97.9167,288,1152,404,
25,15625,15312,97.9968,15312,97.9968,312,1251,468,
26,17576,17238,98.0769,17238,98.0769,338,1352,488,
27,19683,19318,98.1456,19318,98.1456,364,1459,540,
28,21952,21560,98.2143,21560,98.2143,392,1568,554,
29,24389,23968,98.2738,23968,98.2738,420,1683,617,
30,27000,26550,98.3333,26550,98.3333,450,1800,638,
31,29791,29310,98.3854,29310,98.3854,480,1923,698,
32,32768,32256,98.4375,32256,98.4375,512,2048,730,
33,35937,35392,98.4835,35392,98.4835,544,2179,785,
34,39304,38726,98.5294,38726,98.5294,578,2312,810,
35,42875,42262,98.5703,42262,98.5703,612,2451,878,
36,46656,46008,98.6111,46008,98.6111,648,2592,894,
37,50653,49968,98.6477,49968,98.6477,684,2739,975,
